,recommend_to_a_friend,review_text
0,True,estou contente com a compra entrega rápida o único problema com as americanas é se houver troca ou devolução do produto o consumidor tem problemas com espera
1,True,por apenas reu consegui comprar esse lindo copo de acrílico
2,True,supera em agilidade e praticidade outras panelas elétricas  costumo usar outra panela para cozimento de arroz japonesa mas leva muito tempo    minutos  nessa panela  é muito mais rápido exatamente  minutos    eu recomendo
3,True,meu filho amou parece de verdade com tantos detalhes que têm
4,True,a entrega foi no prazo as americanas estão de parabéns a smart tv é muito boa a navegação na internete e pelos aplicativos e excelente não trava sem falar da imagem que é de surpreender recomendo
5,True,excelente produto por fora em material acrílico super resistente e por dentro em adamantio faz milagre com qualquer bebida sugiro aproveitarem a promoção antes que acabe
6,True,produto mto bom com essa garrafinha vc pode até servir água pro megazord to pensando em vender minha tv pra comprar  garrafa dessa recomendo
7,True,produto excelente qualidade boa câmera desenvolvimento do android com rapidez
8,True,o barulho e minimo e o vento é bem forte na velocidade 
9,False,meu produto nao foi entregue e a americanas esta descontando na fatura do meu cartão
10,True,comprei um pra cara membro da família nesse natal
11,True,produto maravilhoso não é barulhento fácil manuseio tranquilo de montar e desmontar entrega antes do prazo mesmo se tratando de época do natal americanas de parabéns e o produto muito bom recomendo com força
12,False,jogo de panelas excelente material entrega a tempo design muito bom
13,False,esse celular não vale nada a bateria não vale nada descarrega sozinha quando estar usando esquenta tanto que faz medo espludi foi a pior compra da minha vida se eu tivesse condições quebrava ele em mil pedaços e comprava outro de qualquer marca menos motorola
14,True,produto de acordo com o que eu esperava somente o prazo de entrega que ficou um pouco a desejar um pouco longo
15,False,a mochila nao esta fechando direito por isso nao recomendo se meu filho nao tivesse deixado suja ia devolver
16,True,produto condizente com o anúncio com material de boa qualidade fácil instalação montagem e preço de acordo com a necessidade de cada um
17,True,nao tenho nada a reclamar bom atendimento e entrega dentro do combinado
18,True,até agora os produtos que eu comprei foram entregue certo obrigado que continua assim
19,True,a capa não decepcionou por enquanto mas a bolsa para guarda ou transporte é extremamente frágil na abertura para conferência já rasgou toda a volta junto ao fecho péssima impressão terei que guardala noutra embalagem uma pena
20,True,produto ofereçe o que prometeu no anúncio entrega muito rapida bem antes do prazo
21,True,pontos positivos painel de  isso faz toda diferença da mais de  bilhão de cores bluetooth wifi ac usb  input lag baixo painel va que proporciona um alto contraste android tv  som da tv realmente é excepcional saída do auto falantes são voltados para frente vem  controles remotos  a tv realmente é formidável valeu muito a pena ter comprado tcl
22,True,melhor do que imaginava superou minhas expectativas
23,True,super leve prático fácil manuseio perfeito p mim
24,True,só tenho que agradecer por vocês estão de parabéns
25,False,eu não recebi o produto e a americanas sabe disso pois já relatei a reclamação diversas vezes só vão devolver o dinheiro no procon e isso mesmo
26,True,ótimo produto comprei para uma pessoa albina ele adorou super leve o tecido
27,True,pra quem gosta de qualidade com um preço acessível a todos eis a melhor opção
28,False,gostaria de cancelar esta compra peço sua gentileza me informar como devo proceder
29,True,uma tela impecável se sua prioridade é tela e câmera esse é o cara o ponto fraco fica por conta do armazenamento apenas  e pela câmera frontal de apenas  sem flash no entanto a câmera principal de  é perfeita
30,True,aparelho condiz com a sua descrição super top tenho o zen fone  é comprei este para minha esposa ela está amando super recomendo
31,False,não recebi segundo o correio o endereço  estava errado porém o outro pedido recebi
32,True,muito bonita e prática chegou antes do prazo americanas de parabéns
